Time,X,Y
-34.9145,0.675259,0.301962
-34.8989,0.675259,0.301962
-34.8833,0.675259,0.301962
-34.8676,0.675259,0.301962
-34.852,0.666182,0.31285
-34.8364,0.666182,0.31285
-34.8208,0.666182,0.31285
-34.8051,0.666182,0.31285
-34.7895,0.669152,0.328507
-34.7739,0.669152,0.328507
-34.7582,0.669152,0.328507
-34.7426,0.669152,0.328507
-34.727,0.669152,0.328507
-34.7114,0.671958,0.340799
-34.6958,0.671958,0.340799
-34.6801,0.671958,0.340799
-34.6645,0.671958,0.340799
-34.6489,0.671958,0.340799
-34.6332,0.669059,0.35837
-34.6177,0.669059,0.35837
-34.602,0.669059,0.35837
-34.5864,0.66648,0.373232
-34.5708,0.66648,0.373232
-34.5552,0.66648,0.373232
-34.5396,0.66648,0.373232
-34.5239,0.6696,0.381576
-34.5083,0.6696,0.381576
-34.4926,0.6696,0.381576
-34.477,0.6696,0.381576
-34.4614,0.6696,0.381576
-34.4458,0.676902,0.38673
-34.4302,0.676902,0.38673
-34.4145,0.676902,0.38673
-34.3989,0.676902,0.38673
-34.3833,0.685171,0.393663
-34.3676,0.685171,0.393663
-34.3521,0.685171,0.393663
-34.3364,0.685171,0.393663
-34.3208,0.685171,0.393663
-34.3052,0.685171,0.393663
-34.2895,0.695324,0.404343
-34.274,0.695324,0.404343
-34.2583,0.695324,0.404343
-34.2426,0.709887,0.415209
-34.227,0.709887,0.415209
-34.2114,0.709887,0.415209
-34.1958,0.709887,0.415209
-34.1802,0.728031,0.423029
-34.1645,0.728031,0.423029
-34.1489,0.728031,0.423029
-34.1333,0.728031,0.423029
-34.1177,0.749907,0.426257
-34.102,0.749907,0.426257
-34.0864,0.749907,0.426257
-34.0708,0.749907,0.426257
-34.0552,0.749907,0.426257
-34.0396,0.749907,0.426257
-34.024,0.774708,0.427076
-34.0083,0.774708,0.427076
-33.9927,0.774708,0.427076
-33.977,0.79819,0.426836
-33.9614,0.79819,0.426836
-33.9458,0.79819,0.426836
-33.9302,0.79819,0.426836
-33.9145,0.818048,0.427674
-33.8989,0.818048,0.427674
-33.8833,0.818048,0.427674
-33.8677,0.818048,0.427674
-33.8521,0.833126,0.429628
-33.8364,0.833126,0.429628
-33.8208,0.833126,0.429628
-33.8052,0.833126,0.429628
-33.7896,0.833126,0.429628
-33.774,0.833126,0.429628
-33.7583,0.844831,0.431871
-33.7427,0.844831,0.431871
-33.7271,0.844831,0.431871
-33.7114,0.855746,0.431065
-33.6958,0.855746,0.431065
-33.6802,0.855746,0.431065
-33.6646,0.855746,0.431065
-33.6489,0.871241,0.426851
-33.6333,0.871241,0.426851
-33.6177,0.871241,0.426851
-33.602,0.871241,0.426851
-33.5865,0.888702,0.425196
-33.5708,0.888702,0.425196
-33.5552,0.888702,0.425196
-33.5396,0.888702,0.425196
-33.524,0.888702,0.425196
-33.5083,0.906488,0.429143
-33.4927,0.906488,0.429143
-33.477,0.906488,0.429143
-33.4615,0.906488,0.429143
-33.4458,0.92322,0.441878
-33.4302,0.92322,0.441878
-33.4146,0.92322,0.441878
-33.3989,0.92322,0.441878
-33.3834,0.941279,0.464139
-33.3677,0.941279,0.464139
-33.352,0.941279,0.464139
-33.3365,0.941279,0.464139
-33.3208,0.956963,0.492056
-33.3052,0.956963,0.492056
-33.2896,0.956963,0.492056
-33.274,0.956963,0.492056
-33.2583,0.969709,0.517099
-33.2427,0.969709,0.517099
-33.2271,0.969709,0.517099
-33.2115,0.969709,0.517099
-33.1958,0.969709,0.517099
-33.1802,0.980581,0.536071
-33.1646,0.980581,0.536071
-33.149,0.980581,0.536071
-33.1333,0.980581,0.536071
-33.1177,0.980581,0.536071
-33.1021,0.990909,0.5464
-33.0864,0.990909,0.5464
-33.0708,0.990909,0.5464
-33.0552,1.00079,0.55351
-33.0396,1.00079,0.55351
-33.024,1.00079,0.55351
-33.0084,1.00079,0.55351
-32.9927,1.00079,0.55351
-32.9771,1.01037,0.563716
-32.9615,1.01037,0.563716
-32.9458,1.01037,0.563716
