Time,X,Y
-45.5421,0.840133,1.08152
-45.5264,0.840133,1.08152
-45.5108,0.840133,1.08152
-45.4952,0.833473,1.09697
-45.4795,0.833473,1.09697
-45.464,0.833473,1.09697
-45.4483,0.833473,1.09697
-45.4327,0.826727,1.1084
-45.4171,0.826727,1.1084
-45.4014,0.826727,1.1084
-45.3859,0.826727,1.1084
-45.3702,0.823452,1.11784
-45.3545,0.823452,1.11784
-45.3389,0.823452,1.11784
-45.3233,0.823452,1.11784
-45.3077,0.83039,1.12914
-45.292,0.83039,1.12914
-45.2764,0.83039,1.12914
-45.2608,0.83039,1.12914
-45.2452,0.83039,1.12914
-45.2296,0.850325,1.13563
-45.214,0.850325,1.13563
-45.1984,0.850325,1.13563
-45.1827,0.850325,1.13563
-45.1671,0.878766,1.13252
-45.1515,0.878766,1.13252
-45.1358,0.878766,1.13252
-45.1202,0.878766,1.13252
-45.1046,0.878766,1.13252
-45.089,0.91002,1.12098
-45.0733,0.91002,1.12098
-45.0577,0.91002,1.12098
-45.0421,0.91002,1.12098
-45.0265,0.938417,1.10333
-45.0109,0.938417,1.10333
-44.9952,0.938417,1.10333
-44.9796,0.938417,1.10333
-44.964,0.957188,1.08582
-44.9484,0.957188,1.08582
-44.9327,0.957188,1.08582
-44.9171,0.957188,1.08582
-44.9014,0.96953,1.07485
-44.8859,0.96953,1.07485
-44.8702,0.96953,1.07485
-44.8546,0.96953,1.07485
-44.839,0.981836,1.06692
-44.8233,0.981836,1.06692
-44.8078,0.981836,1.06692
-44.7921,0.981836,1.06692
-44.7765,0.981836,1.06692
-44.7609,0.981836,1.06692
-44.7452,1.00529,1.06642
-44.7296,1.00529,1.06642
-44.714,1.00529,1.06642
-44.6984,1.03106,1.07557
-44.6827,1.03106,1.07557
-44.6671,1.03106,1.07557
-44.6515,1.03106,1.07557
-44.6358,1.05544,1.09451
-44.6202,1.05544,1.09451
-44.6046,1.05544,1.09451
-44.589,1.05544,1.09451
-44.5734,1.07952,1.12121
-44.5577,1.07952,1.12121
-44.5421,1.07952,1.12121
-44.5265,1.07952,1.12121
