Time,X,Y
-10.0149,0.672111,0.326692
-9.98363,0.669615,0.307322
-9.96806,0.669615,0.307322
-9.9524,0.669615,0.307322
-9.93682,0.669615,0.307322
-9.92113,0.664218,0.298263
-9.88994,0.664218,0.298263
-9.87426,0.664218,0.298263
-9.8587,0.656888,0.290606
-9.84303,0.656888,0.290606
-9.82745,0.656888,0.290606
-9.8118,0.656888,0.290606
-9.79614,0.657876,0.282373
-9.78058,0.657876,0.282373
-9.76493,0.657876,0.282373
-9.74931,0.657876,0.282373
-9.73364,0.665284,0.275156
-9.71802,0.665284,0.275156
-9.70243,0.665284,0.275156
-9.68677,0.665284,0.275156
-9.67118,0.665284,0.275156
-9.65552,0.674983,0.270609
-9.6399,0.674983,0.270609
-9.62431,0.674983,0.270609
-9.60865,0.674983,0.270609
-9.59305,0.688762,0.268887
-9.57746,0.688762,0.268887
-9.56181,0.688762,0.268887
-9.54619,0.688762,0.268887
-9.53053,0.704518,0.276426
-9.51494,0.704518,0.276426
-9.49931,0.704518,0.276426
-9.48365,0.704518,0.276426
-9.46806,0.704518,0.276426
-9.45241,0.721367,0.287532
-9.43681,0.721367,0.287532
-9.42118,0.721367,0.287532
-9.4056,0.721367,0.287532
-9.38993,0.734019,0.294618
-9.37429,0.734019,0.294618
-9.35872,0.734019,0.294618
-9.34311,0.734019,0.294618
-9.32748,0.734019,0.294618
-9.29617,0.74814,0.30046
-9.2806,0.74814,0.30046
-9.26497,0.74814,0.30046
-9.24932,0.767797,0.299395
-9.23367,0.767797,0.299395
-9.21805,0.767797,0.299395
-9.20248,0.767797,0.299395
-9.1868,0.788996,0.286734
-9.1712,0.788996,0.286734
-9.15557,0.788996,0.286734
-9.13996,0.788996,0.286734
-9.1243,0.811232,0.269757
-9.09311,0.811232,0.269757
-9.0775,0.811232,0.269757
-9.06187,0.831989,0.252945
-9.04618,0.831989,0.252945
-9.03061,0.831989,0.252945
-9.01498,0.831989,0.252945
-8.99931,0.84848,0.237595
-8.98375,0.84848,0.237595
-8.96806,0.84848,0.237595
-8.95243,0.84848,0.237595
-8.93686,0.84848,0.237595
-8.92119,0.860071,0.227959
-8.90563,0.860071,0.227959
-8.88997,0.860071,0.227959
-8.87432,0.860071,0.227959
-8.85875,0.866138,0.220646
-8.84313,0.866138,0.220646
-8.8275,0.866138,0.220646
-8.81187,0.866138,0.220646
-8.7962,0.866138,0.220646
-8.71812,0.89273,0.184573
-8.70252,0.89273,0.184573
-8.68683,0.89273,0.184573
-8.67123,0.89273,0.184573
-8.37439,0.995217,0.146552
-8.35877,0.995217,0.146552
-8.34312,0.995217,0.146552
-7.90562,1.13289,0.0772424
-7.89002,1.13289,0.0772424
-7.87437,1.13289,0.0772424
-7.85877,1.14607,0.071485
-7.84319,1.14607,0.071485
-7.82754,1.14607,0.071485
-7.81191,1.14607,0.071485
-7.79625,1.16862,0.0649666
-7.78067,1.16862,0.0649666
-7.76505,1.16862,0.0649666
-7.74937,1.16862,0.0649666
-7.73381,1.16862,0.0649666
-7.71812,1.19743,0.0614306
-7.70252,1.19743,0.0614306
-7.68688,1.19743,0.0614306
-7.67127,1.19743,0.0614306
-7.65566,1.23004,0.0665325
-7.64001,1.23004,0.0665325
-7.6244,1.23004,0.0665325
-7.60881,1.23004,0.0665325
-7.59319,1.2613,0.0730465
-7.57757,1.2613,0.0730465
-7.56195,1.2613,0.0730465
-7.54627,1.2613,0.0730465
-7.53069,1.28687,0.0834611
-7.51506,1.28687,0.0834611
-7.4994,1.28687,0.0834611
-7.48376,1.28687,0.0834611
-7.46816,1.28687,0.0834611
-7.45251,1.30714,0.0927167
-7.43691,1.30714,0.0927167
-7.42128,1.30714,0.0927167
-7.4057,1.30714,0.0927167
-7.39008,1.31841,0.0980161
-7.37439,1.31841,0.0980161
-7.35883,1.31841,0.0980161
