Time,X,Y
-45.0777,1.18072,0.085534
-45.0621,1.18072,0.085534
-45.0465,1.18072,0.085534
-45.0309,1.18072,0.085534
-45.0153,1.20297,0.0908045
-44.9996,1.20297,0.0908045
-44.984,1.20297,0.0908045
-44.9683,1.20297,0.0908045
-44.9527,1.20297,0.0908045
-44.9371,1.20297,0.0908045
-44.9214,1.22325,0.0921892
-44.9059,1.22325,0.0921892
-44.8902,1.22325,0.0921892
-44.8746,1.24993,0.0831382
-44.859,1.24993,0.0831382
-44.8434,1.24993,0.0831382
-44.8278,1.24993,0.0831382
-44.8121,1.27703,0.0616724
-44.7965,1.27703,0.0616724
-44.7809,1.27703,0.0616724
-44.7653,1.27703,0.0616724
-44.7496,1.30155,0.0467074
-44.734,1.30155,0.0467074
-44.7184,1.30155,0.0467074
-44.7027,1.30155,0.0467074
-44.6871,1.30155,0.0467074
-44.6715,1.32018,0.0430206
-44.6559,1.32018,0.0430206
-44.6403,1.32018,0.0430206
-44.6246,1.32018,0.0430206
-44.609,1.33397,0.0441601
-44.5934,1.33397,0.0441601
-44.5778,1.33397,0.0441601
-44.5622,1.33397,0.0441601
-44.5465,1.34497,0.0473671
-44.5309,1.34497,0.0473671
-44.5153,1.34497,0.0473671
-44.4996,1.34497,0.0473671
-44.484,1.34497,0.0473671
-44.4683,1.35401,0.0559037
-44.4527,1.35401,0.0559037
-44.4371,1.35401,0.0559037
-44.4215,1.35401,0.0559037
-44.4059,1.37519,0.0589205
-44.3902,1.37519,0.0589205
-44.3747,1.37519,0.0589205
-44.359,1.37519,0.0589205
-44.3434,1.40363,0.0632597
-44.3278,1.40363,0.0632597
-44.3122,1.40363,0.0632597
-44.2965,1.40363,0.0632597
-44.2809,1.4336,0.0567358
-44.2652,1.4336,0.0567358
-44.2497,1.4336,0.0567358
-44.234,1.4336,0.0567358
-44.2184,1.4336,0.0567358
-44.2027,1.46739,0.0615989
-44.1871,1.46739,0.0615989
-44.1716,1.46739,0.0615989
-44.1559,1.46739,0.0615989
-44.1403,1.49425,0.0682524
-44.1246,1.49425,0.0682524
-44.109,1.49425,0.0682524
-44.0778,1.51446,0.0746458
-44.0622,1.51446,0.0746458
-44.0153,1.51446,0.0746458
-43.9841,1.52683,0.0753953
-43.9528,1.52683,0.0753953
-43.9372,1.54095,0.0761985
-43.9216,1.54095,0.0761985
-43.906,1.54095,0.0761985
-43.8903,1.54095,0.0761985
-43.8747,1.5629,0.0734654
-43.859,1.5629,0.0734654
-43.8434,1.5629,0.0734654
-43.8278,1.5629,0.0734654
-43.8121,1.58577,0.0639572
-43.7966,1.58577,0.0639572
-43.7809,1.58577,0.0639572
-43.7653,1.58577,0.0639572
-43.7497,1.58577,0.0639572
-43.734,1.60984,0.0527363
-43.7184,1.60984,0.0527363
-43.7028,1.60984,0.0527363
-43.6872,1.60984,0.0527363
-43.6715,1.60984,0.0527363
-43.6559,1.63255,0.0452414
-43.6403,1.63255,0.0452414
-43.6247,1.63255,0.0452414
-43.6091,1.63255,0.0452414
-43.5934,1.65393,0.0450661
-43.5778,1.65393,0.0450661
-43.5622,1.65393,0.0450661
-43.5466,1.67192,0.0449797
-43.531,1.67192,0.0449797
-43.5153,1.67192,0.0449797
-43.4997,1.67192,0.0449797
-43.4841,1.67192,0.0449797
-43.4685,1.67192,0.0449797
-43.4528,1.68346,0.0215209
-43.4372,1.68346,0.0215209
-43.4215,1.68346,0.0215209
-43.4059,1.705,0.0191939
-43.3903,1.705,0.0191939
-43.3747,1.705,0.0191939
-43.359,1.705,0.0191939
-43.3435,1.73727,0.0333591
-43.3279,1.73727,0.0333591
-43.3122,1.73727,0.0333591
-43.2966,1.73727,0.0333591
-43.281,1.77224,0.037685
-43.2653,1.77224,0.037685
-43.234,1.77224,0.037685
-43.2185,1.77224,0.037685
-43.2028,1.80457,0.0543946
-43.1872,1.80457,0.0543946
-43.1716,1.80457,0.0543946
-43.1559,1.80457,0.0543946
-43.1404,1.83113,0.0740792
-43.1247,1.83113,0.0740792
-43.1091,1.83113,0.0740792
-43.0934,1.83113,0.0740792
-43.0779,1.83113,0.0740792
-43.0622,1.83113,0.0740792
-43.0466,1.85356,0.0870182
-43.031,1.85356,0.0870182
-43.0153,1.85356,0.0870182
-42.9997,1.86767,0.0868328
-42.9841,1.86767,0.0868328
-42.9685,1.86767,0.0868328
-42.9529,1.86767,0.0868328
-42.9372,1.87829,0.0855287
-42.9216,1.87829,0.0855287
-42.9059,1.87829,0.0855287
-42.8903,1.87829,0.0855287
-42.8748,1.8992,0.0791134
-42.8591,1.8992,0.0791134
-42.8435,1.8992,0.0791134
-42.8279,1.8992,0.0791134
-42.8123,1.92148,0.062978
-42.7966,1.92148,0.062978
-42.781,1.92148,0.062978
-42.7653,1.92148,0.062978
-42.7497,1.92148,0.062978
-42.7341,1.92148,0.062978
-42.7185,1.94271,0.0423863
-42.7028,1.94271,0.0423863
-42.6873,1.94271,0.0423863
-42.6716,1.94271,0.0423863
-42.656,1.96059,0.0361153
-42.6403,1.96059,0.0361153
-42.6247,1.96059,0.0361153
-42.6091,1.97232,0.0354898
-42.5935,1.97232,0.0354898
-42.5779,1.97232,0.0354898
-42.5622,1.97232,0.0354898
-42.5466,1.97232,0.0354898
-42.531,1.97232,0.0354898
-42.5153,1.98117,0.0356315
-42.4998,1.98117,0.0356315
-42.4841,1.98117,0.0356315
-42.4685,1.98761,0.0348684
-42.4529,1.98761,0.0348684
-42.4372,1.98761,0.0348684
-42.4216,1.98761,0.0348684
-42.406,2.00607,0.0335887
-42.3903,2.00607,0.0335887
-42.3748,2.00607,0.0335887
-42.3591,2.00607,0.0335887
-42.3435,2.03437,0.0339338
-42.3279,2.03437,0.0339338
-42.3123,2.03437,0.0339338
-42.2967,2.03437,0.0339338
-42.281,2.03437,0.0339338
-42.2654,2.03437,0.0339338
-42.2497,2.06738,0.0396537
-42.2341,2.06738,0.0396537
-42.2185,2.06738,0.0396537
-42.2028,2.09919,0.0511236
-42.1873,2.09919,0.0511236
-42.1716,2.09919,0.0511236
-42.156,2.09919,0.0511236
-42.1404,2.12432,0.0696958
-42.1247,2.12432,0.0696958
-42.1092,2.12432,0.0696958
-42.0935,2.12432,0.0696958
-42.0779,2.14186,0.0864107
-42.0623,2.14186,0.0864107
-42.0467,2.14186,0.0864107
-42.031,2.14186,0.0864107
-42.0154,2.14186,0.0864107
-41.9998,2.15651,0.0928809
-41.9841,2.15651,0.0928809
-41.9685,2.15651,0.0928809
-41.9529,2.15651,0.0928809
-41.9372,2.17479,0.0878101
-41.9216,2.17479,0.0878101
-41.906,2.17479,0.0878101
-41.8904,2.17479,0.0878101
-41.8748,2.1961,0.0770802
-41.8591,2.1961,0.0770802
-41.8435,2.1961,0.0770802
-41.8279,2.1961,0.0770802
-41.8123,2.22385,0.0597803
-41.7967,2.22385,0.0597803
-41.7811,2.22385,0.0597803
-41.7654,2.22385,0.0597803
-41.7497,2.22385,0.0597803
-41.7342,2.24973,0.0472445
-41.7185,2.24973,0.0472445
-41.7029,2.24973,0.0472445
-41.6873,2.24973,0.0472445
-41.6716,2.27118,0.0359126
-41.6561,2.27118,0.0359126
-41.6404,2.27118,0.0359126
-41.6248,2.27118,0.0359126
-41.6092,2.28992,0.0349376
-41.5935,2.28992,0.0349376
-41.5779,2.28992,0.0349376
-41.5623,2.28992,0.0349376
-41.5311,2.30041,0.0336487
-41.5154,2.30041,0.0336487
-41.4998,2.30041,0.0336487
-41.4841,2.30041,0.0336487
-41.4685,2.30424,0.0361198
-41.4529,2.30424,0.0361198
-41.4373,2.30424,0.0361198
-41.4217,2.30424,0.0361198
-41.406,2.31842,0.0347767
-41.3904,2.31842,0.0347767
-41.3748,2.31842,0.0347767
-41.3591,2.31842,0.0347767
-41.3436,2.31842,0.0347767
-41.328,2.34598,0.0370805
-41.3123,2.34598,0.0370805
-41.2967,2.34598,0.0370805
-41.281,2.37843,0.0379703
-41.2654,2.37843,0.0379703
-41.2498,2.37843,0.0379703
-41.2342,2.37843,0.0379703
-41.2185,2.37843,0.0379703
-41.2029,2.40937,0.0391412
-41.1873,2.40937,0.0391412
-41.1717,2.40937,0.0391412
-41.1561,2.40937,0.0391412
-41.1404,2.43658,0.0458651
-41.1248,2.43658,0.0458651
-41.1092,2.43658,0.0458651
-41.0936,2.43658,0.0458651
-41.078,2.43658,0.0458651
-41.0623,2.45809,0.0555533
