Time,X,Y
56.026,0.731219,1.7891
56.0417,0.735965,1.80949
56.0574,0.735965,1.80949
56.0729,0.735965,1.80949
56.0886,0.735965,1.80949
56.1042,0.757477,1.79958
56.1199,0.757477,1.79958
56.1354,0.757477,1.79958
56.1511,0.757477,1.79958
56.1667,0.780593,1.77972
56.1823,0.780593,1.77972
56.1979,0.780593,1.77972
56.2135,0.780593,1.77972
56.2292,0.780593,1.77972
56.2448,0.801619,1.74988
56.2604,0.801619,1.74988
56.2761,0.801619,1.74988
56.2917,0.801619,1.74988
56.3073,0.818969,1.72113
56.323,0.818969,1.72113
56.3385,0.818969,1.72113
56.3542,0.818969,1.72113
56.3698,0.833185,1.70278
56.3855,0.833185,1.70278
56.4011,0.833185,1.70278
56.4167,0.833185,1.70278
56.4323,0.851457,1.69149
56.4479,0.851457,1.69149
56.4635,0.851457,1.69149
56.4791,0.851457,1.69149
56.4948,0.851457,1.69149
56.5105,0.870958,1.69081
56.526,0.870958,1.69081
56.5417,0.870958,1.69081
56.5573,0.870958,1.69081
56.5729,0.884172,1.69631
56.5886,0.884172,1.69631
56.6041,0.884172,1.69631
56.6198,0.884172,1.69631
56.6354,0.894054,1.70768
56.6511,0.894054,1.70768
56.6667,0.894054,1.70768
56.6822,0.894054,1.70768
56.6979,0.903328,1.72044
56.7135,0.903328,1.72044
56.7292,0.903328,1.72044
56.7447,0.903328,1.72044
56.7604,0.914562,1.73239
56.7761,0.914562,1.73239
56.7916,0.914562,1.73239
56.8073,0.914562,1.73239
56.8229,0.938315,1.73652
56.8385,0.938315,1.73652
56.8541,0.938315,1.73652
56.8698,0.938315,1.73652
56.8854,0.938315,1.73652
56.901,0.968505,1.73786
56.9166,0.968505,1.73786
56.9323,0.968505,1.73786
56.9479,0.968505,1.73786
56.9635,1.00178,1.73555
56.9791,1.00178,1.73555
56.9948,1.00178,1.73555
57.0104,1.00178,1.73555
57.1041,1.06403,1.72427
57.1198,1.06403,1.72427
57.1354,1.06403,1.72427
57.151,1.06403,1.72427
57.2291,1.10623,1.7043
57.2447,1.10623,1.7043
57.2603,1.10623,1.7043
57.276,1.10623,1.7043
57.2916,1.12001,1.69511
57.3072,1.12001,1.69511
57.3229,1.12001,1.69511
57.3385,1.12001,1.69511
57.3541,1.12001,1.69511
57.3697,1.13302,1.68572
57.3854,1.13302,1.68572
57.401,1.13302,1.68572
57.4166,1.13302,1.68572
57.4323,1.13302,1.68572
57.4478,1.1559,1.68632
57.4634,1.1559,1.68632
57.4791,1.1559,1.68632
57.4947,1.17735,1.69972
57.5104,1.17735,1.69972
57.5259,1.17735,1.69972
57.5416,1.17735,1.69972
57.5572,1.21111,1.71744
57.5729,1.21111,1.71744
57.5885,1.21111,1.71744
57.6041,1.21111,1.71744
57.6197,1.21111,1.71744
57.6353,1.22693,1.7381
57.651,1.22693,1.7381
57.6666,1.22693,1.7381
57.6822,1.22693,1.7381
57.6978,1.22693,1.7381
57.7135,1.24069,1.75986
57.7291,1.24069,1.75986
57.7447,1.24069,1.75986
57.7603,1.24069,1.75986
57.776,1.24462,1.78661
57.7916,1.24462,1.78661
57.8072,1.24462,1.78661
57.8229,1.2487,1.81116
57.8384,1.2487,1.81116
57.8541,1.2487,1.81116
57.8697,1.2487,1.81116
57.8854,1.2487,1.81116
57.9009,1.26081,1.83153
57.9166,1.26081,1.83153
57.9322,1.26081,1.83153
57.9478,1.26081,1.83153
57.9635,1.26081,1.83153
57.979,1.2891,1.84596
57.9947,1.2891,1.84596
58.0103,1.2891,1.84596
58.0259,1.2891,1.84596
58.0415,1.331,1.84634
58.0572,1.331,1.84634
58.0728,1.331,1.84634
58.0885,1.37624,1.83299
58.104,1.37624,1.83299
58.1197,1.37624,1.83299
58.1353,1.37624,1.83299
58.151,1.37624,1.83299
58.1666,1.417,1.81396
58.1822,1.417,1.81396
58.1978,1.417,1.81396
58.2134,1.417,1.81396
58.229,1.44674,1.79203
58.2446,1.44674,1.79203
58.2603,1.44674,1.79203
58.2759,1.44674,1.79203
58.2915,1.46823,1.77472
58.3072,1.46823,1.77472
58.3228,1.46823,1.77472
58.3384,1.46823,1.77472
58.3541,1.46823,1.77472
58.3696,1.48766,1.76616
58.3853,1.48766,1.76616
58.4009,1.48766,1.76616
58.4166,1.48766,1.76616
58.4322,1.51341,1.76209
58.4478,1.51341,1.76209
58.4634,1.51341,1.76209
58.479,1.51341,1.76209
58.4946,1.54944,1.7712
58.5103,1.54944,1.7712
58.5259,1.54944,1.7712
58.5415,1.54944,1.7712
58.5572,1.58773,1.79606
58.5728,1.58773,1.79606
58.5884,1.58773,1.79606
58.604,1.58773,1.79606
58.6197,1.58773,1.79606
58.6353,1.58773,1.79606
58.6509,1.62174,1.8266
58.6666,1.62174,1.8266
58.6822,1.62174,1.8266
58.6978,1.62174,1.8266
58.7134,1.6455,1.85468
58.729,1.6455,1.85468
58.7446,1.6455,1.85468
58.7603,1.66137,1.87356
58.7759,1.66137,1.87356
58.7915,1.66137,1.87356
58.8072,1.66137,1.87356
58.8228,1.66137,1.87356
58.8384,1.67445,1.88409
58.854,1.67445,1.88409
58.8697,1.67445,1.88409
58.8853,1.67445,1.88409
58.9009,1.67445,1.88409
58.9165,1.68798,1.89486
58.9321,1.68798,1.89486
58.9478,1.68798,1.89486
58.9634,1.68798,1.89486
58.979,1.71043,1.91078
58.9946,1.71043,1.91078
59.0103,1.71043,1.91078
59.0259,1.74123,1.92773
59.0415,1.74123,1.92773
59.0571,1.74123,1.92773
59.0728,1.74123,1.92773
59.0884,1.74123,1.92773
59.104,1.77633,1.93848
59.1196,1.77633,1.93848
59.1352,1.77633,1.93848
59.1509,1.77633,1.93848
59.1665,1.81258,1.93494
